	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
Seychelles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Singapore	0	1	3	3	4	5	7	7	10	13	16	18	18	24	28	28	30	29	36	41	29	20	28	33	36	39	29	23	16	16	11	11	-13	-13	-15	-31	-31	-31	-42	-38	-48	-46	-46	-39	-26	-18	-6	-6	4	-14	-14	6	2
Slovakia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	7	10	16	32	44
Slovenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	7	16	16	31	57	89	141	179
South Africa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	7	13	17	24	38
Spain	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	2	9	11	28	41	80	116	159	214	249	386	420	579	953	1561	1803	1801	4580	4967
Sri Lanka	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4	8
Sudan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
Suriname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sweden	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	7	12	14	15	21	35	94	101	161	203	246	353	496	595	810	955
Switzerland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	8	18	27	42	52	84	106	206	260	327	364	479	636	636	1109	1325
Taiwan*	1	1	3	3	4	5	8	8	9	10	10	10	10	11	11	14	14	15	16	16	16	16	16	14	14	14	16	16	17	18	20	20	22	18	19	20	20	20	19	20	15	16	16	18	19	19	17	13	11	12	7	8	11
Thailand	2	3	5	7	4	4	4	4	4	9	9	9	9	15	15	15	15	12	12	12	13	13	9	9	9	6	5	5	5	5	1	1	-7	-7	-7	-4	-4	-15	-14	-16	-21	-21	-21	-17	-16	-14	-14	-14	-15	-11	0	3	10
Togo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Tunisia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	5	7	7	16	18
Turkey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5
US	1	1	2	2	5	5	5	5	5	7	8	8	11	11	11	11	11	11	5	5	6	6	7	7	7	7	7	7	7	7	5	5	5	41	39	45	46	46	52	58	72	90	113	179	220	354	462	525	887	1193	1559	2061	2595
Ukraine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
United Arab Emirates	0	0	0	0	0	0	0	4	4	4	4	5	5	5	5	5	5	7	7	8	8	6	6	6	2	1	1	1	1	1	1	5	5	5	5	5	5	9	11	11	11	17	17	19	19	31	31	31	50	40	51	51	51
United Kingdom	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	3	3	3	8	8	7	7	7	7	-7	-7	-7	-7	-7	-7	-7	-7	-3	-3	-3	-1	4	7	20	24	35	70	98	144	167	232	278	334	405	405	747	1063
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Venezuela	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Vietnam	0	2	2	2	2	2	2	2	2	2	4	4	6	6	6	8	8	11	11	12	3	3	2	2	2	2	2	2	2	2	-12	-12	-12	-12	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-14	-2	-2	-1	6	7	15	21
occupied Palestinian territory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
